UID          PID    PPID  C STIME TTY          TIME CMD
lawlessl    1518    1473  0 16:54 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
lawlessl    1525    1473  0 16:54 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
lawlessl    1530    1473  0 16:54 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
lawlessl    1534    1473  0 16:54 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
lawlessl    1538    1473  0 16:54 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
lawlessl    1543    1473  0 16:54 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
lawlessl    1547    1473  0 16:54 ?        00:00:00 /usr/libexec/goa-daemon
lawlessl    1556    1473  0 16:54 ?        00:00:00 /usr/libexec/goa-identity-service
lawlessl    1571    1453  0 16:54 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
lawlessl    1573    1571  0 16:54 tty2     00:00:15 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
lawlessl    1616    1571  0 16:54 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
lawlessl    1685    1616  0 16:54 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
lawlessl    1702    1473  0 16:54 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
lawlessl    1707    1702  0 16:54 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
lawlessl    1733    1473  0 16:54 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
lawlessl    1754    1473  0 16:54 ?        00:00:00 /usr/libexec/dconf-service
lawlessl    1758    1473  0 16:54 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
lawlessl    1772    1473  3 16:54 ?        00:00:56 /usr/bin/gnome-shell
lawlessl    1800    1772  0 16:54 ?        00:00:00 ibus-daemon --panel disable --xim
lawlessl    1806    1800  0 16:54 ?        00:00:00 /usr/libexec/ibus-memconf
lawlessl    1807    1800  0 16:54 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
lawlessl    1811    1473  0 16:54 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
lawlessl    1814    1473  0 16:54 ?        00:00:00 /usr/libexec/ibus-portal
lawlessl    1823    1473  0 16:54 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
lawlessl    1827    1473  0 16:54 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
lawlessl    1828    1473  0 16:54 ?        00:00:00 /usr/libexec/xdg-permission-store
